cod_uf,UF,ano,ordem,cod_causa,quantidade,descricao
11,Rondônia,2008,1,X95,259,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2008,2,V89,227,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2008,3,X99,110,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2008,4,W74,60,Afogamento e submersão não especificados
11,Rondônia,2008,5,X70,41,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2008,6,V29,41,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2008,7,Y00,32,Agressão por meio de um objeto contundente
11,Rondônia,2008,8,V99,28,Acidente de transporte não especificado
11,Rondônia,2008,9,V24,17,Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
11,Rondônia,2008,10,V49,17,Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2009,1,X95,328,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2009,2,V89,207,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2009,3,X99,119,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2009,4,X70,45,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2009,5,W74,43,Afogamento e submersão não especificados
11,Rondônia,2009,6,V29,41,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2009,7,W19,31,Queda sem especificação
11,Rondônia,2009,8,Y00,28,Agressão por meio de um objeto contundente
11,Rondônia,2009,9,V09,27,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2009,10,V24,27,Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
11,Rondônia,2010,1,X95,302,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
11,Rondônia,2010,2,V89,268,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
11,Rondônia,2010,3,X99,122,Agressão por meio de objeto cortante ou penetrante
11,Rondônia,2010,4,X70,43,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
11,Rondônia,2010,5,V49,41,Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2010,6,V29,38,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2010,7,W19,36,Queda sem especificação
11,Rondônia,2010,8,Y09,36,Agressão por meios não especificados
11,Rondônia,2010,9,W74,32,Afogamento e submersão não especificados
11,Rondônia,2010,10,V09,31,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
11,Rondônia,2011,1,V89,247,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
