Cód,UF,2008 Nenhuma,2008 De 1 a 3 anos,2008 De 4 a 7 anos,2008 De 8 a 11 anos,2008 12 anos e mais,2009 Nenhuma,2009 De 1 a 3 anos,2009 De 4 a 7 anos,2009 De 8 a 11 anos,2009 12 anos e mais,2010 Nenhuma,2010 De 1 a 3 anos,2010 De 4 a 7 anos,2010 De 8 a 11 anos,2010 12 anos e mais,2011 Nenhuma,2011 De 1 a 3 anos,2011 De 4 a 7 anos,2011 De 8 a 11 anos,2011 12 anos e mais,2012 Nenhuma,2012 De 1 a 3 anos,2012 De 4 a 7 anos,2012 De 8 a 11 anos,2012 12 anos e mais,2013 Nenhuma,2013 De 1 a 3 anos,2013 De 4 a 7 anos,2013 De 8 a 11 anos,2013 12 anos e mais,2014 Nenhuma,2014 De 1 a 3 anos,2014 De 4 a 7 anos,2014 De 8 a 11 anos,2014 12 anos e mais,2015 Nenhuma,2015 De 1 a 3 anos,2015 De 4 a 7 anos,2015 De 8 a 11 anos,2015 12 anos e mais,2016 Nenhuma,2016 De 1 a 3 anos,2016 De 4 a 7 anos,2016 De 8 a 11 anos,2016 12 anos e mais,2017 Nenhuma,2017 De 1 a 3 anos,2017 De 4 a 7 anos,2017 De 8 a 11 anos,2017 12 anos e mais,2018 Nenhuma,2018 De 1 a 3 anos,2018 De 4 a 7 anos,2018 De 8 a 11 anos,2018 12 anos e mais,lat,lon
11,Rondônia,11,87,74,26,7,27,96,114,37,12,28,97,115,42,4,10,84,93,29,5,10,70,114,49,14,19,93,116,74,10,18,70,153,91,14,28,96,168,100,13,32,134,225,123,19,18,90,173,130,17,20,82,152,115,11,-10.83,-63.34
12,Acre,7,25,20,6,0,9,21,33,16,3,3,16,13,19,5,5,4,9,5,1,16,22,19,9,3,12,26,38,32,1,7,31,43,25,4,23,41,58,25,11,20,93,114,53,10,35,106,186,114,6,35,73,145,106,9,-8.77,-70.55
13,Amazonas,26,135,394,157,38,39,133,423,184,42,38,213,478,215,37,33,211,615,285,43,43,257,624,273,27,46,170,536,287,32,45,209,551,306,33,41,232,659,398,36,55,247,675,347,45,60,238,729,487,43,59,151,659,505,37,-3.47,-65.1
14,Roraima,2,5,21,24,8,9,3,27,16,7,6,11,33,10,5,4,19,22,14,4,6,24,49,23,3,6,30,54,28,6,6,11,18,16,1,6,16,36,12,4,11,6,28,56,4,30,7,24,45,2,14,9,63,51,3,1.99,-61.33
15,Pará,166,617,1034,414,58,141,596,1168,451,65,159,858,1305,558,69,158,870,1115,439,38,135,652,1144,660,88,167,738,1214,611,49,151,659,1117,678,38,165,686,1064,612,60,165,1097,1563,715,56,168,1111,1654,843,72,170,1094,1689,851,73,-3.79,-52.48
16,Amapá,9,31,68,52,10,8,34,62,35,5,6,40,73,62,8,8,27,74,40,3,5,31,65,73,4,8,24,89,45,9,11,45,101,58,12,6,55,106,53,11,10,83,129,83,12,11,66,86,73,11,14,87,108,86,23,1.41,-51.77
17,Tocantins,21,47,53,38,9,31,34,67,53,16,26,51,87,42,5,24,58,84,49,11,29,56,91,68,12,22,65,82,48,6,20,47,91,42,7,29,66,145,68,7,27,105,161,78,16,18,102,150,88,13,36,98,165,80,11,-9.46,-48.26
21,Maranhão,119,248,393,205,36,128,244,443,244,53,129,244,541,274,58,194,352,499,281,25,127,357,593,379,30,155,389,694,492,44,160,390,871,574,41,167,423,880,568,39,158,325,855,648,45,170,304,758,575,37,158,243,688,514,43,-5.42,-45.44
22,Piauí,61,103,136,50,6,56,87,136,55,11,49,84,139,60,11,53,118,134,61,5,57,147,180,99,7,64,193,184,75,15,57,259,190,87,15,66,213,169,79,20,56,248,199,98,15,39,192,178,103,8,56,150,192,107,14,-6.6,-42.28
23,Ceará,133,396,431,169,42,120,457,406,173,52,87,555,485,184,106,133,836,791,272,35,182,1304,1287,319,38,177,1185,1890,428,37,222,1275,1896,456,47,205,1157,1602,483,34,143,730,1320,413,57,237,1075,2618,791,63,248,788,2253,975,74,-5.2,-39.53
