Cód,UF,2008 0_4,2008 5_9,2008 10_14,2008 15_19,2008 20_24,2008 25_29,2008 30_34,2008 35_39,2008 40_44,2008 45_49,2008 50_54,2008 55_59,2008 60_64,2008 65_69,2008 70_74,2008 75_79,2008 80+,2009 0_4,2009 5_9,2009 10_14,2009 15_19,2009 20_24,2009 25_29,2009 30_34,2009 35_39,2009 40_44,2009 45_49,2009 50_54,2009 55_59,2009 60_64,2009 65_69,2009 70_74,2009 75_79,2009 80+,2010 0_4,2010 5_9,2010 10_14,2010 15_19,2010 20_24,2010 25_29,2010 30_34,2010 35_39,2010 40_44,2010 45_49,2010 50_54,2010 55_59,2010 60_64,2010 65_69,2010 70_74,2010 75_79,2010 80+,2011 0_4,2011 5_9,2011 10_14,2011 15_19,2011 20_24,2011 25_29,2011 30_34,2011 35_39,2011 40_44,2011 45_49,2011 50_54,2011 55_59,2011 60_64,2011 65_69,2011 70_74,2011 75_79,2011 80+,2012 0_4,2012 5_9,2012 10_14,2012 15_19,2012 20_24,2012 25_29,2012 30_34,2012 35_39,2012 40_44,2012 45_49,2012 50_54,2012 55_59,2012 60_64,2012 65_69,2012 70_74,2012 75_79,2012 80+,2013 0_4,2013 5_9,2013 10_14,2013 15_19,2013 20_24,2013 25_29,2013 30_34,2013 35_39,2013 40_44,2013 45_49,2013 50_54,2013 55_59,2013 60_64,2013 65_69,2013 70_74,2013 75_79,2013 80+,2014 0_4,2014 5_9,2014 10_14,2014 15_19,2014 20_24,2014 25_29,2014 30_34,2014 35_39,2014 40_44,2014 45_49,2014 50_54,2014 55_59,2014 60_64,2014 65_69,2014 70_74,2014 75_79,2014 80+,2015 0_4,2015 5_9,2015 10_14,2015 15_19,2015 20_24,2015 25_29,2015 30_34,2015 35_39,2015 40_44,2015 45_49,2015 50_54,2015 55_59,2015 60_64,2015 65_69,2015 70_74,2015 75_79,2015 80+,2016 0_4,2016 5_9,2016 10_14,2016 15_19,2016 20_24,2016 25_29,2016 30_34,2016 35_39,2016 40_44,2016 45_49,2016 50_54,2016 55_59,2016 60_64,2016 65_69,2016 70_74,2016 75_79,2016 80+,2017 0_4,2017 5_9,2017 10_14,2017 15_19,2017 20_24,2017 25_29,2017 30_34,2017 35_39,2017 40_44,2017 45_49,2017 50_54,2017 55_59,2017 60_64,2017 65_69,2017 70_74,2017 75_79,2017 80+,2018 0_4,2018 5_9,2018 10_14,2018 15_19,2018 20_24,2018 25_29,2018 30_34,2018 35_39,2018 40_44,2018 45_49,2018 50_54,2018 55_59,2018 60_64,2018 65_69,2018 70_74,2018 75_79,2018 80+,lat,lon
11,Rondônia,3,1,5,60,69,63,48,53,29,29,25,18,13,8,2,2,2,1,2,8,72,81,69,72,62,49,23,30,17,11,5,4,5,0,5,2,5,58,85,79,72,33,49,48,30,18,14,2,4,5,3,1,1,3,39,71,66,57,56,33,36,16,9,9,5,4,2,2,2,0,5,54,88,81,70,50,38,36,27,21,11,6,2,1,1,1,2,3,44,77,84,65,51,42,29,24,15,10,6,2,1,2,3,0,5,57,75,85,78,57,47,37,39,17,9,12,3,3,3,0,2,7,68,93,92,76,65,59,30,26,23,16,9,6,2,1,1,0,10,63,98,95,117,81,52,43,42,19,13,16,3,4,4,1,0,6,64,91,68,84,53,45,36,30,17,13,7,5,2,1,1,0,2,43,74,64,65,49,52,30,36,14,12,7,4,2,2,-10.83,-63.34
12,Acre,1,0,1,18,25,21,17,6,12,2,6,1,0,0,1,1,1,4,0,0,22,25,25,20,10,5,7,5,5,5,3,0,0,1,1,1,1,21,20,20,24,20,12,6,3,5,4,0,1,1,0,2,0,1,16,17,23,14,22,12,6,3,3,1,3,1,0,2,0,2,2,24,35,30,33,12,15,6,9,3,2,0,1,0,2,1,1,4,27,50,37,28,21,9,8,8,6,2,3,0,0,1,1,0,4,33,34,39,29,25,12,11,8,5,2,2,1,1,2,2,0,1,23,37,41,30,18,20,6,6,8,4,1,2,1,1,0,1,4,71,58,60,50,32,29,11,11,6,6,3,2,3,2,2,1,12,102,101,85,65,46,26,15,13,7,6,6,6,3,0,1,0,10,77,92,66,53,38,24,11,9,7,5,1,0,0,0,-8.77,-70.55
13,Amazonas,3,2,12,121,191,161,114,68,45,38,21,14,8,5,3,2,1,6,1,10,128,212,187,124,74,50,26,29,14,7,6,5,3,4,4,2,13,158,253,211,130,92,54,47,27,21,4,9,8,7,4,9,2,18,239,287,258,171,99,65,50,26,21,14,8,1,1,1,3,0,15,174,277,261,186,129,73,49,34,35,16,10,7,2,4,4,4,15,188,239,215,151,106,70,52,36,17,18,6,8,4,3,3,2,14,177,282,209,173,113,77,44,38,21,22,16,3,2,3,0,2,14,225,330,246,220,144,83,54,37,27,20,3,5,2,3,16,2,15,209,322,247,188,140,85,67,37,38,23,11,13,5,6,27,2,14,222,401,314,236,159,78,59,52,30,23,11,5,7,5,18,2,9,226,353,272,218,166,92,62,38,16,15,9,8,6,2,-3.47,-65.1
14,Roraima,9,0,1,8,7,20,15,14,7,3,6,1,2,0,2,0,1,13,2,2,16,19,12,8,7,4,9,6,3,1,1,1,0,0,0,0,2,11,22,15,16,8,10,3,1,4,2,0,0,0,1,2,1,1,8,11,12,8,10,8,6,3,3,1,1,1,0,0,2,0,1,19,25,22,7,10,6,9,4,3,0,0,3,1,0,3,0,1,15,19,28,20,7,9,9,9,12,0,1,2,1,0,6,0,0,8,7,9,6,9,3,4,3,2,2,0,1,2,1,8,0,0,9,20,12,13,8,3,2,7,2,0,2,0,2,2,6,0,0,6,21,26,14,13,12,2,1,3,7,2,2,1,2,0,1,3,17,22,13,13,15,7,6,6,3,3,1,1,1,0,28,0,2,42,30,21,12,7,6,9,4,2,6,1,1,0,1,1.99,-61.33
15,Pará,2,4,23,423,598,512,322,236,140,99,85,55,37,18,12,3,7,6,3,30,436,657,521,371,236,170,91,83,41,31,18,11,10,7,4,3,24,526,720,586,438,282,216,134,97,74,43,21,11,9,8,6,2,32,496,645,535,368,253,206,118,79,56,31,13,13,5,3,8,4,37,487,701,522,432,269,173,122,85,47,32,21,15,9,7,8,4,33,520,674,544,454,305,202,158,94,67,33,20,20,11,13,6,11,34,515,679,537,483,281,195,125,96,69,48,18,21,5,13,12,5,31,530,699,588,450,345,233,146,107,77,41,30,25,15,9,3,7,36,662,875,657,546,382,270,187,122,83,55,21,16,7,11,8,7,34,637,973,745,579,443,274,186,125,90,44,40,29,15,9,5,6,29,631,978,753,566,451,312,214,124,99,61,25,11,16,12,-3.79,-52.48
16,Amapá,0,0,2,36,52,44,14,12,6,7,7,4,1,1,2,0,1,0,2,1,33,37,31,19,15,13,6,7,2,2,1,1,1,0,0,1,2,56,50,49,21,19,15,7,3,5,2,1,1,0,0,0,1,4,42,33,31,25,17,13,3,5,3,2,1,0,0,0,0,1,3,52,43,43,24,16,9,5,1,2,2,1,1,2,1,0,0,6,58,47,32,19,9,13,10,4,1,4,0,0,1,1,0,0,4,58,57,41,31,20,12,8,3,7,2,2,1,0,0,0,0,2,57,61,40,34,17,20,17,5,5,6,0,1,0,0,0,1,0,95,79,52,48,34,10,17,10,4,4,3,1,3,1,1,1,5,48,56,51,42,26,11,19,7,6,3,1,1,1,1,0,0,1,76,89,52,34,28,15,12,15,8,3,6,2,0,1,1.41,-51.77
17,Tocantins,1,2,2,30,45,31,26,17,13,15,3,7,5,4,3,2,2,0,1,5,25,46,47,39,26,19,14,12,10,5,1,6,2,1,1,2,2,39,58,65,35,18,20,21,15,8,3,2,1,1,5,0,0,2,38,54,59,54,38,21,22,10,7,7,5,2,5,1,1,2,3,47,63,62,41,37,31,24,12,7,9,4,3,4,4,1,0,5,40,53,50,44,40,21,15,12,11,8,9,2,2,4,4,0,8,52,56,60,45,45,22,14,11,8,5,3,2,2,1,1,0,6,66,85,76,83,45,29,20,16,9,5,4,6,2,3,1,1,6,85,102,80,76,55,35,26,18,17,8,10,5,7,4,1,1,6,80,113,89,63,38,31,30,15,8,9,7,8,2,3,2,1,8,70,118,77,67,44,28,21,23,10,11,8,4,9,5,-9.46,-48.26
21,Maranhão,5,4,6,156,265,224,129,69,85,47,45,26,23,16,5,6,6,2,6,5,162,307,263,175,98,83,43,39,27,14,13,11,6,6,3,3,10,157,331,302,195,117,87,68,44,29,21,10,7,9,7,5,2,9,140,318,311,204,149,100,80,48,42,27,14,12,8,8,2,1,11,194,389,329,251,171,93,68,43,38,20,18,14,3,6,5,5,23,261,421,427,292,192,113,86,65,50,27,13,12,11,9,9,8,17,307,479,468,358,227,142,119,72,37,17,13,19,7,5,3,4,25,344,409,454,311,259,160,103,95,38,22,24,11,12,7,5,5,21,316,416,383,310,238,166,112,76,55,36,19,12,11,12,3,4,25,292,374,347,311,214,134,79,66,30,26,22,14,11,5,8,7,17,243,328,318,255,207,115,101,66,37,30,21,13,4,6,-5.42,-45.44
22,Piauí,0,0,9,44,77,74,44,28,32,18,17,9,6,4,4,1,3,4,1,3,46,96,59,45,29,22,24,13,10,9,3,6,4,3,2,1,2,28,87,75,59,38,19,15,13,12,9,6,5,4,6,1,0,5,46,88,87,66,39,34,26,8,12,3,11,3,0,3,1,0,5,65,90,109,83,54,40,27,15,8,11,5,4,4,0,2,2,9,77,117,136,77,52,28,31,25,11,5,6,3,5,3,2,3,8,126,121,148,98,59,43,25,34,14,16,6,7,2,1,1,3,8,117,92,112,97,65,42,28,21,20,11,10,7,4,5,1,0,5,125,127,114,108,62,50,26,19,25,11,11,5,0,1,3,1,12,91,119,95,87,59,41,27,23,13,10,4,6,4,3,3,1,4,75,116,121,87,63,37,26,17,14,10,11,5,4,9,-6.6,-42.28
23,Ceará,3,3,25,308,434,352,245,174,120,91,50,46,23,24,14,3,16,2,5,27,330,469,338,254,196,150,86,46,41,29,26,19,7,8,6,3,34,424,552,412,303,215,179,95,82,52,41,25,14,9,15,6,2,34,476,591,447,348,215,156,130,74,48,38,18,22,14,10,2,9,58,821,856,595,436,305,211,145,111,46,43,23,16,11,14,5,6,76,949,973,719,497,363,251,156,120,71,52,33,22,10,15,7,7,88,1007,1015,769,535,348,226,181,146,69,40,35,19,12,11,3,7,48,828,916,653,495,334,208,183,124,73,45,43,11,19,10,5,4,30,610,717,539,387,282,215,129,99,60,31,24,16,11,7,5,7,84,1073,1336,921,636,446,294,191,144,88,51,30,18,15,19,3,1,76,878,1125,782,573,491,295,193,177,79,51,39,30,13,20,-5.2,-39.53
