Cód,UF,2008Branca,2008Preta,2008Amarela,2008Parda,2008Indígena,2009Branca,2009Preta,2009Amarela,2009Parda,2009Indígena,2010Branca,2010Preta,2010Amarela,2010Parda,2010Indígena,2011Branca,2011Preta,2011Amarela,2011Parda,2011Indígena,2012Branca,2012Preta,2012Amarela,2012Parda,2012Indígena,2013Branca,2013Preta,2013Amarela,2013Parda,2013Indígena,2014Branca,2014Preta,2014Amarela,2014Parda,2014Indígena,2015Branca,2015Preta,2015Amarela,2015Parda,2015Indígena,2016Branca,2016Preta,2016Amarela,2016Parda,2016Indígena,2017Branca,2017Preta,2017Amarela,2017Parda,2017Indígena,2018Branca,2018Preta,2018Amarela,2018Parda,2018Indígena,lat,lon
11,Rondônia,116,29,2,267,1,137,41,2,316,1,135,40,2,332,2,102,40,0,263,2,126,37,0,324,3,141,39,1,265,3,126,44,1,360,1,139,41,0,394,2,163,45,0,457,2,139,29,0,349,2,113,32,1,310,1,-10.83,-63.34
12,Acre,18,3,0,58,1,14,4,0,85,1,18,1,0,81,0,11,7,1,70,0,15,7,0,136,2,16,7,1,165,0,37,10,0,160,1,25,8,2,161,2,38,13,0,284,3,65,27,0,392,5,45,16,0,324,1,-8.77,-70.55
13,Amazonas,33,4,0,749,10,27,3,0,821,11,66,9,0,951,4,120,24,2,1095,20,87,25,1,1133,28,91,12,1,992,42,76,12,2,1073,20,78,14,0,1310,20,61,8,2,1308,43,89,12,1,1490,55,66,20,4,1380,46,-3.47,-65.1
14,Roraima,12,3,0,67,12,8,2,0,66,26,6,4,0,79,4,4,2,0,59,8,12,4,0,87,40,9,3,0,104,38,4,5,0,41,13,3,2,0,66,19,4,3,0,92,18,4,2,0,83,25,14,3,3,106,50,1.99,-61.33
15,Pará,182,130,5,2264,2,189,112,2,2418,3,237,164,4,2793,4,225,119,3,2528,6,221,149,7,2631,6,252,174,2,2761,7,190,194,2,2770,10,193,198,3,2970,8,231,223,7,3493,8,298,214,8,3748,10,274,237,6,3772,10,-3.79,-52.48
16,Amapá,5,6,0,172,0,9,5,1,144,1,24,9,2,172,1,26,9,0,143,0,17,4,0,168,1,23,6,2,154,0,14,7,1,216,0,10,10,1,229,2,9,6,2,339,1,18,11,3,243,0,16,10,3,304,0,1.41,-51.77
17,Tocantins,35,19,0,153,2,50,22,0,185,1,34,22,0,236,0,55,36,1,227,0,55,32,1,257,0,60,28,0,218,3,67,27,0,238,1,91,47,0,300,6,89,64,1,364,2,87,47,3,352,4,80,54,1,362,4,-9.46,-48.26
21,Maranhão,123,144,2,832,4,136,187,1,922,2,132,198,1,1047,6,182,216,0,1060,8,162,200,2,1263,7,176,297,2,1493,7,206,317,5,1753,5,245,335,1,1661,7,231,314,10,1607,13,154,266,3,1520,5,165,180,2,1411,7,-5.42,-45.44
22,Piauí,51,41,0,273,0,50,42,2,270,1,50,37,1,274,0,56,49,0,301,0,53,61,0,393,0,68,40,0,442,0,42,58,0,526,0,55,51,1,499,0,44,45,1,558,0,47,49,1,483,0,48,65,0,459,0,-6.6,-42.28
23,Ceará,179,13,1,1298,3,173,32,0,1252,1,278,68,1,1514,0,256,45,2,1505,0,228,47,0,1793,4,245,28,3,2107,1,245,30,16,2422,0,202,38,11,2169,6,174,26,0,2274,2,311,37,2,4806,8,365,32,2,4393,9,-5.2,-39.53
24,Rio Grande do Norte,96,54,0,480,0,119,29,0,562,2,108,18,0,590,0,142,55,1,709,0,180,15,2,803,0,191,32,3,1031,2,211,38,1,1221,0,147,20,1,1213,2,192,17,2,1436,6,172,22,1,1831,9,187,18,3,1509,8,-5.81,-36.59
25,Paraíba,43,22,0,875,1,43,21,1,1071,0,37,20,1,1243,1,67,46,1,1360,2,68,29,1,1226,1,82,24,0,1242,1,75,50,0,1269,0,86,44,0,1234,0,75,38,0,1108,0,81,32,2,1163,2,56,26,1,1085,0,-7.28,-36.72
26,Pernambuco,405,105,3,3654,18,345,91,1,3251,5,239,53,1,2818,9,209,66,1,2820,5,167,35,2,2851,5,205,65,4,2630,0,355,101,4,2682,3,394,87,5,3254,3,507,130,6,3679,1,618,161,8,4497,2,545,175,2,3351,3,-8.38,-37.86
27,Alagoas,50,10,3,1521,1,37,7,3,1578,6,43,11,2,1665,2,74,19,2,1995,2,81,26,2,1833,0,104,37,2,1893,1,65,17,4,1905,2,53,13,2,1617,0,34,2,0,1712,1,22,15,4,1685,1,13,6,8,1145,5,-9.62,-36.82
28,Sergipe,76,30,0,381,0,76,25,0,448,1,57,34,0,540,0,54,33,2,643,1,70,43,0,757,1,79,44,1,822,1,86,66,1,932,1,71,75,4,1134,0,78,99,0,1291,0,75,59,0,1158,0,53,35,0,1044,0,-10.57,-37.45
