Cód,UF,2008Masculino,2008Feminino,2009Masculino,2009Feminino,2010Masculino,2010Feminino,2011Masculino,2011Feminino,2012Masculino,2012Feminino,2013Masculino,2013Feminino,2014Masculino,2014Feminino,2015Masculino,2015Feminino,2016Masculino,2016Feminino,2017Masculino,2017Feminino,2018Masculino,2018Feminino,lat,lon
11,Rondônia,402,35,466,50,488,36,370,48,455,49,418,46,493,51,525,63,623,53,471,58,425,39,-10.83,-63.34
12,Acre,100,13,124,13,125,15,115,13,165,13,183,23,195,18,184,17,327,23,466,33,363,32,-8.77,-70.55
13,Amazonas,754,57,827,61,991,60,1198,77,1183,101,1066,92,1140,76,1331,104,1328,115,1547,113,1400,126,-3.47,-65.1
14,Roraima,83,14,83,22,90,8,68,8,124,21,132,26,57,7,79,13,105,14,103,11,140,38,1.99,-61.33
15,Pará,2487,147,2623,157,3057,196,2752,165,2848,208,3077,217,3030,225,3208,237,3777,274,4074,300,4101,309,-3.79,-52.48
16,Amapá,179,10,160,11,220,12,165,15,195,11,188,17,226,20,251,14,349,13,256,24,329,13,1.41,-51.77
17,Tocantins,193,18,234,28,265,32,284,45,309,49,281,41,312,34,421,44,503,41,474,36,469,45,-9.46,-48.26
21,Maranhão,1058,68,1206,68,1304,105,1373,117,1565,101,1910,118,2185,138,2158,138,2072,140,1862,110,1681,107,-5.42,-45.44
22,Piauí,335,38,347,31,356,31,405,30,478,46,546,46,656,60,583,66,642,51,554,48,560,51,-6.6,-42.28
23,Ceará,1825,108,1905,130,2310,160,2474,174,3509,210,4070,268,4266,274,3788,235,2986,189,4998,367,4369,466,-5.2,-39.53
24,Rio Grande do Norte,624,58,715,52,709,69,924,64,1010,57,1292,86,1450,101,1401,87,1649,94,1970,140,1651,97,-5.81,-36.59
25,Paraíba,903,83,1108,87,1259,106,1428,133,1330,133,1391,119,1407,108,1381,108,1208,97,1215,82,1110,79,-7.28,-36.72
26,Pernambuco,4019,284,3536,283,3093,236,3087,246,3008,199,2764,245,2989,226,3580,230,4104,274,5050,301,3900,233,-8.38,-37.86
27,Alagoas,1795,81,1751,108,1931,133,2108,137,1872,123,1968,137,1933,122,1630,90,1680,96,1670,101,1355,65,-9.62,-36.82
28,Sergipe,531,35,617,41,635,45,675,60,814,62,898,53,1019,73,1218,70,1413,58,1220,74,1093,39,-10.57,-37.45
29,Bahia,4348,296,4886,334,5162,418,4861,423,5349,417,4963,401,5389,366,5217,363,5921,400,6126,463,5466,386,-13.29,-41.71
31,Minas Gerais,3355,352,3155,376,3095,390,3635,439,3947,446,4083,400,4044,354,3848,374,4002,352,3611,359,2819,332,-18.1,-44.38
32,Espírito Santo,1717,191,1720,216,1556,167,1459,158,1473,156,1412,166,1420,136,1246,137,1107,92,1283,141,939,87,-19.19,-40.34
33,Rio de Janeiro,4882,359,4616,340,4810,328,4075,361,4048,352,4331,378,4839,454,4264,371,5029,421,5405,395,5140,364,-22.25,-42.66
35,São Paulo,4934,573,5052,568,4431,602,4439,512,5103,553,4750,555,4867,549,4234,512,3443,437,3205,422,2806,414,-22.19,-48.79
41,Paraná,3067,299,3256,320,3178,328,2956,273,3055,317,2554,272,2602,276,2548,240,2658,231,2306,230,2027,201,-24.89,-51.55
42,Santa Catarina,662,81,676,89,671,104,689,75,683,97,642,94,726,104,792,98,827,106,908,105,711,92,-27.45,-50.95
43,Rio Grande do Sul,2140,216,1989,224,1836,227,1856,201,2116,247,2102,208,2455,250,2636,281,2877,308,2969,299,2391,253,-30.17,-53.5
50,Mato Grosso do Sul,625,56,661,66,562,75,588,77,590,76,544,73,597,81,579,60,568,78,567,61,479,65,-20.51,-54.54
51,Mato Grosso,835,79,873,91,865,77,874,83,933,99,1049,89,1190,101,1056,116,1038,95,959,87,829,80,-12.64,-55.42
52,Goiás,1488,147,1495,138,1593,152,1840,245,2322,234,2542,257,2472,271,2616,242,2702,228,2536,242,2351,218,-15.98,-49.86
53,Distrito Federal,798,72,919,84,801,78,893,81,951,78,838,78,865,75,742,69,728,69,570,46,501,54,-15.83,-47.86
